"GTEX-UPK5-0426-SM-3GAEK" "GTEX-WFG7-2026-SM-3GIL7" "GTEX-UPJH-0226-SM-3GADV" "GTEX-WK11-2726-SM-3NMAQ" "GTEX-WY7C-2126-SM-3NB2R" "GTEX-WFON-1926-SM-3LK7L" "GTEX-X4EP-0626-SM-3P621" "GTEX-VJYA-1526-SM-3GIJV" "GTEX-WHSE-0126-SM-3NMBT" "GTEX-W5X1-2526-SM-3GILC" "GTEX-WHWD-1826-SM-3LK6I" "GTEX-V1D1-2026-SM-3GAF4" "GTEX-WH7G-2026-SM-3NMBL" "GTEX-WHSB-1326-SM-3LK6W" "GTEX-WHPG-2626-SM-3NMBR" "GTEX-WI4N-2726-SM-3LK7Y" "GTEX-WYJK-0526-SM-3NM8Z" "GTEX-WYBS-0626-SM-3NMAS" "GTEX-WEY5-2326-SM-3GIKK" "GTEX-X3Y1-2026-SM-3P5YM" "GTEX-WYVS-1626-SM-3NM9R" "GTEX-WRHU-2826-SM-3MJG8" "GTEX-WFG8-2126-SM-3GIKQ" "GTEX-XUJ4-1826-SM-4BOOU" "GTEX-1269C-0126-SM-5EQ5L" "GTEX-139T8-0626-SM-5KLZX" "GTEX-11ZUS-2626-SM-5FQUR" "GTEX-11DXZ-2026-SM-5987S" "GTEX-13FTW-0326-SM-5K7UW" "GTEX-VUSG-2326-SM-4KL1U" "GTEX-XV7Q-1826-SM-4BRUV" "GTEX-132AR-0326-SM-5KM2C" "GTEX-XBEC-0726-SM-4QARZ" "GTEX-11EQ8-0926-SM-5H12V" "GTEX-13OW8-1026-SM-5J1NQ" "GTEX-12BJ1-0926-SM-5EQ62" "GTEX-YEC3-1326-SM-4WWEL" "GTEX-Y8LW-1526-SM-5IFHL" "GTEX-13PDP-0726-SM-5L3HP" "GTEX-ZU9S-1826-SM-5NQ9E" "GTEX-ZAB5-2626-SM-5KM3Y" "GTEX-12ZZX-2426-SM-5GCOE" "GTEX-YF7O-1526-SM-5IFI6" "GTEX-Y8E4-2026-SM-5IFJB" "GTEX-ZPU1-1126-SM-4YCF3" "GTEX-ZYFD-0626-SM-5E44E" "GTEX-Y5V6-2326-SM-4VDSA" "GTEX-11EM3-1226-SM-5N9DD" "GTEX-11UD2-2526-SM-5CVNU" "GTEX-13O61-1426-SM-5KM3D"
"ENSG00000237330.2" 27 9 173 301 113 310 129 125 287 83 99 75 342 277 217 155 317 193 71 176 204 86 6 100 239 258 48 101 297 168 137 49 200 288 196 110 111 168 264 260 49 162 464 310 337 429 102 174 109 284
"ENSG00000131591.13" 473 91 1256 2018 2212 2206 2283 1098 1677 733 929 1439 1516 1687 1411 1706 2627 1118 389 2002 1888 2666 286 998 1181 1287 1571 1302 1574 1409 1827 1476 2449 671 1988 1244 1404 1260 917 2324 545 676 898 766 1681 2159 2652 1164 1505 1145
"ENSG00000223823.1" 8 0 0 2 0 0 2 0 6 0 14 0 0 0 1 0 2 0 0 0 0 2 0 0 0 0 4 0 0 7 0 0 0 0 0 2 2 9 0 0 0 4 7 3 2 2 4 3 0 0
"ENSG00000207730.1" 0 0 0 0 0 5 1 2 1 1 4 4 0 2 3 0 3 1 1 2 2 2 0 4 0 4 1 0 2 2 6 4 0 1 1 4 4 1 0 0 1 0 2 2 6 2 4 9 0 1
"ENSG00000207607.1" 0 0 1 1 1 0 4 0 0 0 0 3 2 3 1 1 2 0 0 0 1 0 0 3 0 0 0 2 0 0 1 1 2 1 1 1 2 2 1 0 0 0 1 2 1 0 2 2 1 1
"ENSG00000198976.1" 0 0 0 1 5 3 3 2 2 0 6 13 5 2 2 3 5 0 3 11 6 2 0 10 0 5 1 5 1 2 1 4 0 2 2 2 3 4 1 0 0 0 4 1 4 4 6 2 1 3
"ENSG00000272141.1" 249 43 248 192 308 385 330 352 121 132 400 575 367 574 482 434 578 49 199 586 362 358 82 497 101 401 120 359 355 233 457 538 178 188 305 532 448 366 102 179 213 82 325 163 595 251 1436 521 126 384
"ENSG00000205231.1" 0 0 11 14 2 7 14 0 34 2 13 2 0 10 4 16 11 8 2 10 10 18 10 7 13 16 13 10 7 10 8 22 11 6 9 22 11 9 11 12 31 5 7 5 9 10 9 2 8 0
"ENSG00000162571.9" 14 0 22 73 14 67 27 34 70 4 29 78 13 16 21 33 54 28 14 22 38 58 18 21 29 36 28 27 41 68 13 23 30 15 28 43 28 26 32 59 51 9 39 28 36 103 36 45 33 19
"ENSG00000186891.9" 213 319 1109 1076 868 764 768 401 1645 543 1740 807 954 2365 1672 1473 468 936 141 1105 1267 2166 114 599 1163 622 1341 1277 1143 916 1041 415 987 268 1622 388 626 861 489 934 371 856 33 1510 1056 1051 2498 511 1317 1135
"ENSG00000186827.6" 48 5 16 73 42 38 63 42 79 32 38 23 36 27 66 94 59 82 14 94 56 72 10 52 28 48 25 34 64 77 66 136 97 33 111 9 31 64 13 85 164 22 34 63 81 321 183 73 41 47
"ENSG00000078808.12" 2885 867 4244 7577 9410 9429 6834 4123 9163 3483 6552 2663 9988 6560 7803 6621 6725 8896 1926 8768 9038 8991 1182 5572 4151 5303 4699 4054 7053 5212 4905 5305 4446 4740 5292 5036 7048 6792 5471 6188 6339 4395 6960 6565 7717 8768 6320 8104 4296 7523
"ENSG00000176022.3" 816 241 789 1036 1270 2256 1053 930 1095 800 1389 814 1850 1538 1548 538 1177 732 509 1398 1079 1361 222 704 458 382 909 782 1298 1032 1052 1551 800 491 758 592 1365 738 558 879 859 775 1058 1566 1452 896 1509 680 657 1252
"ENSG00000184163.3" 165 8 191 865 195 720 110 211 546 45 691 216 276 81 77 346 667 282 61 324 112 1102 123 141 165 165 713 313 49 193 119 141 463 61 169 223 385 89 75 213 39 45 203 462 495 501 1051 87 286 85
"ENSG00000260179.1" 26 2 35 32 67 59 60 56 29 8 37 19 64 34 38 80 96 40 22 43 56 130 10 78 34 88 30 42 31 57 33 25 52 30 23 40 40 60 69 114 12 25 9 23 49 38 110 44 58 59
"ENSG00000160087.16" 1701 491 2027 2702 3476 4245 2965 2280 3033 1466 2479 1686 4543 3551 2992 2577 3629 2356 967 3752 3403 3628 473 2014 1683 2178 1864 1959 3414 2564 2362 2531 2124 2824 2247 1905 2905 2424 2208 2927 2312 1822 2323 2409 3644 2280 4315 2410 2278 3219
"ENSG00000230415.1" 11 0 16 64 33 50 26 12 11 5 14 55 7 14 32 22 50 45 18 53 59 65 8 16 25 33 35 15 36 18 32 41 42 3 65 39 52 16 22 51 20 17 30 27 26 50 18 25 33 14
"ENSG00000162572.15" 267 25 401 1028 661 698 617 613 429 168 316 740 259 401 581 565 954 435 200 1098 858 1206 92 403 439 413 667 564 396 693 502 927 1126 276 1034 609 443 357 198 1077 409 240 440 361 531 1276 936 604 955 281
"ENSG00000131584.14" 4423 1096 10613 14028 14665 13163 14976 6517 5997 5000 11182 11170 10498 15676 20428 8705 9988 7977 3680 11836 20102 18663 1161 9146 11766 13055 11809 13608 14825 16084 12709 10724 16300 10028 15740 6860 11921 7538 8771 15002 6666 8014 2868 7813 13029 8452 14505 7374 11651 10628
"ENSG00000169972.7" 229 94 471 787 476 865 832 397 1100 292 748 328 837 747 771 851 715 705 195 757 852 688 54 305 488 787 411 528 785 911 586 469 553 498 638 362 903 563 691 614 478 531 366 557 1028 553 757 417 543 821
"ENSG00000127054.14" 3614 854 5278 7380 8544 7554 11027 4280 6520 3485 5362 5243 6794 6630 7326 5574 7524 5775 2168 8912 7759 8667 883 5313 5177 6556 5310 4724 6908 7095 6305 6798 6726 4989 6569 5009 5643 6387 5729 8366 4378 3837 4417 4857 6464 7632 6597 5415 5361 6634
"ENSG00000240731.1" 127 22 235 295 263 253 406 193 174 104 162 366 133 226 215 133 281 158 51 267 323 347 33 187 171 233 212 184 207 230 247 254 206 174 270 197 186 226 229 203 109 109 114 112 214 254 162 157 211 186
"ENSG00000224051.2" 1464 711 2369 2958 4211 3049 2420 1721 2631 1316 3379 1200 3393 3578 3730 2006 2935 2818 889 4170 3189 2768 393 1378 1568 1990 1379 2276 2644 2223 2031 2225 2128 2268 1714 1905 3389 2631 2995 2301 1552 1763 2282 3069 3849 1550 5249 1763 1616 3052
"ENSG00000169962.4" 9 1 21 25 31 21 32 32 14 3 17 26 20 4 30 3 53 6 1 52 16 24 4 10 7 14 13 8 9 22 11 14 7 9 14 40 58 11 2 15 10 7 28 38 42 20 28 40 4 3
"ENSG00000107404.13" 1098 411 2859 3988 3924 5497 5377 1760 6091 1366 3797 2053 4750 4555 3936 4009 4333 3413 1004 4092 3867 4209 479 2956 2348 3847 2579 2509 4806 3550 3671 3337 3001 2792 3709 2599 3602 3429 3207 3689 2794 2431 2919 2837 3252 4030 1917 2826 2811 4271
"ENSG00000162576.12" 2743 342 2397 7041 6018 5768 6980 3880 5510 2648 3245 1561 3340 1863 6757 4142 5516 8264 1615 10719 11091 8183 939 4828 1542 9115 1780 2302 4639 3209 11435 6864 6000 1725 4455 3831 3653 5344 1849 5690 8836 2073 8977 4464 9856 4990 5073 4561 4303 4028
